id,idx_1,word_1,idx_2,word_2
512,15,excited,32,shocked
513,15,excited,33,skeptical
514,15,excited,34,surprised
515,15,excited,35,sympathetic
516,15,excited,36,thankful
517,15,excited,37,uncertain
518,15,excited,38,urgent
519,15,excited,39,worried
520,16,friendly,16,friendly
521,16,friendly,17,frustrated
522,16,friendly,18,grateful
523,16,friendly,19,happy
524,16,friendly,20,indignant
525,16,friendly,21,irritated
526,16,friendly,22,joyful
527,16,friendly,23,nostalgic
528,16,friendly,24,pleased
529,16,friendly,25,proud
530,16,friendly,26,reassuring
531,16,friendly,27,reflective
532,16,friendly,28,relieved
533,16,friendly,29,resigned
534,16,friendly,30,sad
535,16,friendly,31,sarcastic
536,16,friendly,32,shocked
537,16,friendly,33,skeptical
538,16,friendly,34,surprised
539,16,friendly,35,sympathetic
540,16,friendly,36,thankful
541,16,friendly,37,uncertain
542,16,friendly,38,urgent
543,16,friendly,39,worried
544,17,frustrated,17,frustrated
545,17,frustrated,18,grateful
546,17,frustrated,19,happy
547,17,frustrated,20,indignant
548,17,frustrated,21,irritated
549,17,frustrated,22,joyful
550,17,frustrated,23,nostalgic
551,17,frustrated,24,pleased
552,17,frustrated,25,proud
553,17,frustrated,26,reassuring
554,17,frustrated,27,reflective
555,17,frustrated,28,relieved
556,17,frustrated,29,resigned
557,17,frustrated,30,sad
558,17,frustrated,31,sarcastic
559,17,frustrated,32,shocked
560,17,frustrated,33,skeptical
561,17,frustrated,34,surprised
562,17,frustrated,35,sympathetic
563,17,frustrated,36,thankful
564,17,frustrated,37,uncertain
565,17,frustrated,38,urgent
566,17,frustrated,39,worried
567,18,grateful,18,grateful
568,18,grateful,19,happy
569,18,grateful,20,indignant
570,18,grateful,21,irritated
571,18,grateful,22,joyful
572,18,grateful,23,nostalgic
573,18,grateful,24,pleased
574,18,grateful,25,proud
575,18,grateful,26,reassuring
576,18,grateful,27,reflective
577,18,grateful,28,relieved
578,18,grateful,29,resigned
579,18,grateful,30,sad
580,18,grateful,31,sarcastic
581,18,grateful,32,shocked
582,18,grateful,33,skeptical
583,18,grateful,34,surprised
584,18,grateful,35,sympathetic
585,18,grateful,36,thankful
586,18,grateful,37,uncertain
587,18,grateful,38,urgent
588,18,grateful,39,worried
589,19,happy,19,happy
590,19,happy,20,indignant
591,19,happy,21,irritated
592,19,happy,22,joyful
593,19,happy,23,nostalgic
594,19,happy,24,pleased
595,19,happy,25,proud
596,19,happy,26,reassuring
597,19,happy,27,reflective
598,19,happy,28,relieved
599,19,happy,29,resigned
600,19,happy,30,sad
601,19,happy,31,sarcastic
602,19,happy,32,shocked
603,19,happy,33,skeptical
604,19,happy,34,surprised
605,19,happy,35,sympathetic
606,19,happy,36,thankful
607,19,happy,37,uncertain
608,19,happy,38,urgent
609,19,happy,39,worried
610,20,indignant,20,indignant
611,20,indignant,21,irritated
612,20,indignant,22,joyful
613,20,indignant,23,nostalgic
614,20,indignant,24,pleased
615,20,indignant,25,proud
616,20,indignant,26,reassuring
617,20,indignant,27,reflective
618,20,indignant,28,relieved
619,20,indignant,29,resigned
620,20,indignant,30,sad
621,20,indignant,31,sarcastic
622,20,indignant,32,shocked
623,20,indignant,33,skeptical
624,20,indignant,34,surprised
625,20,indignant,35,sympathetic
626,20,indignant,36,thankful
627,20,indignant,37,uncertain
628,20,indignant,38,urgent
629,20,indignant,39,worried
630,21,irritated,21,irritated
631,21,irritated,22,joyful
632,21,irritated,23,nostalgic
633,21,irritated,24,pleased
634,21,irritated,25,proud
635,21,irritated,26,reassuring
636,21,irritated,27,reflective
637,21,irritated,28,relieved
638,21,irritated,29,resigned
639,21,irritated,30,sad
640,21,irritated,31,sarcastic
641,21,irritated,32,shocked
642,21,irritated,33,skeptical
643,21,irritated,34,surprised
644,21,irritated,35,sympathetic
645,21,irritated,36,thankful
646,21,irritated,37,uncertain
647,21,irritated,38,urgent
648,21,irritated,39,worried
649,22,joyful,22,joyful
650,22,joyful,23,nostalgic
651,22,joyful,24,pleased
652,22,joyful,25,proud
653,22,joyful,26,reassuring
654,22,joyful,27,reflective
655,22,joyful,28,relieved
656,22,joyful,29,resigned
657,22,joyful,30,sad
658,22,joyful,31,sarcastic
659,22,joyful,32,shocked
660,22,joyful,33,skeptical
661,22,joyful,34,surprised
662,22,joyful,35,sympathetic
663,22,joyful,36,thankful
664,22,joyful,37,uncertain
665,22,joyful,38,urgent
666,22,joyful,39,worried
667,23,nostalgic,23,nostalgic
668,23,nostalgic,24,pleased
669,23,nostalgic,25,proud
670,23,nostalgic,26,reassuring
671,23,nostalgic,27,reflective
672,23,nostalgic,28,relieved
673,23,nostalgic,29,resigned
674,23,nostalgic,30,sad
675,23,nostalgic,31,sarcastic
676,23,nostalgic,32,shocked
677,23,nostalgic,33,skeptical
678,23,nostalgic,34,surprised
679,23,nostalgic,35,sympathetic
680,23,nostalgic,36,thankful
681,23,nostalgic,37,uncertain
682,23,nostalgic,38,urgent
683,23,nostalgic,39,worried
684,24,pleased,24,pleased
685,24,pleased,25,proud
